image,class
train_1\daria_bend.avi_frame0.jpg,train
train_1\daria_bend.avi_frame1.jpg,train
train_1\daria_bend.avi_frame2.jpg,train
train_1\daria_bend.avi_frame3.jpg,train
train_1\daria_wave2.avi_frame0.jpg,train
train_1\daria_wave2.avi_frame1.jpg,train
train_1\daria_wave2.avi_frame2.jpg,train
train_1\daria_wave2.avi_frame3.jpg,train
train_1\denis_bend.avi_frame0.jpg,train
train_1\denis_bend.avi_frame1.jpg,train
train_1\denis_bend.avi_frame2.jpg,train
train_1\denis_bend.avi_frame3.jpg,train
train_1\denis_wave1.avi_frame0.jpg,train
train_1\denis_wave1.avi_frame1.jpg,train
train_1\denis_wave1.avi_frame2.jpg,train
train_1\denis_wave2.avi_frame0.jpg,train
train_1\denis_wave2.avi_frame1.jpg,train
train_1\denis_wave2.avi_frame2.jpg,train
train_1\eli_bend.avi_frame0.jpg,train
train_1\eli_bend.avi_frame1.jpg,train
train_1\eli_bend.avi_frame2.jpg,train
train_1\eli_pjump.avi_frame0.jpg,train
train_1\eli_pjump.avi_frame1.jpg,train
train_1\eli_wave1.avi_frame0.jpg,train
train_1\eli_wave1.avi_frame1.jpg,train
train_1\eli_wave1.avi_frame2.jpg,train
train_1\eli_wave1.avi_frame3.jpg,train
train_1\eli_wave1.avi_frame4.jpg,train
train_1\eli_wave2.avi_frame0.jpg,train
train_1\eli_wave2.avi_frame1.jpg,train
train_1\eli_wave2.avi_frame2.jpg,train
train_1\ido_bend.avi_frame0.jpg,train
train_1\ido_bend.avi_frame1.jpg,train
train_1\ido_bend.avi_frame2.jpg,train
train_1\ido_pjump.avi_frame0.jpg,train
train_1\ido_pjump.avi_frame1.jpg,train
train_1\ido_wave2.avi_frame0.jpg,train
train_1\ido_wave2.avi_frame1.jpg,train
train_1\ido_wave2.avi_frame2.jpg,train
train_1\ira_bend.avi_frame0.jpg,train
train_1\ira_bend.avi_frame1.jpg,train
train_1\ira_bend.avi_frame2.jpg,train
train_1\ira_bend.avi_frame3.jpg,train
train_1\ira_pjump.avi_frame0.jpg,train
train_1\ira_pjump.avi_frame1.jpg,train
train_1\ira_pjump.avi_frame2.jpg,train
train_1\ira_pjump.avi_frame3.jpg,train
train_1\ira_pjump.avi_frame4.jpg,train
train_1\ira_pjump.avi_frame5.jpg,train
train_1\ira_wave2.avi_frame0.jpg,train
train_1\ira_wave2.avi_frame1.jpg,train
train_1\ira_wave2.avi_frame2.jpg,train
train_1\ira_wave2.avi_frame3.jpg,train
train_1\ira_wave2.avi_frame4.jpg,train
train_1\lena_bend.avi_frame0.jpg,train
train_1\lena_bend.avi_frame1.jpg,train
train_1\lena_bend.avi_frame2.jpg,train
train_1\lena_pjump.avi_frame0.jpg,train
train_1\lena_pjump.avi_frame1.jpg,train
train_1\lena_wave1.avi_frame0.jpg,train
train_1\lena_wave1.avi_frame1.jpg,train
train_1\lena_wave1.avi_frame2.jpg,train
train_1\lyova_bend.avi_frame0.jpg,train
train_1\lyova_bend.avi_frame1.jpg,train
train_1\lyova_bend.avi_frame2.jpg,train
train_1\lyova_pjump.avi_frame0.jpg,train
train_1\lyova_pjump.avi_frame1.jpg,train
train_1\lyova_pjump.avi_frame2.jpg,train
train_1\lyova_wave1.avi_frame0.jpg,train
train_1\lyova_wave1.avi_frame1.jpg,train
train_1\lyova_wave1.avi_frame2.jpg,train
train_1\moshe_pjump.avi_frame0.jpg,train
train_1\moshe_pjump.avi_frame1.jpg,train
train_1\moshe_wave1.avi_frame0.jpg,train
train_1\moshe_wave1.avi_frame1.jpg,train
train_1\moshe_wave1.avi_frame2.jpg,train
train_1\moshe_wave2.avi_frame0.jpg,train
train_1\moshe_wave2.avi_frame1.jpg,train
train_1\moshe_wave2.avi_frame2.jpg,train
train_1\shahar_pjump.avi_frame0.jpg,train
train_1\shahar_pjump.avi_frame1.jpg,train
train_1\shahar_pjump.avi_frame2.jpg,train
train_1\shahar_wave1.avi_frame0.jpg,train
train_1\shahar_wave1.avi_frame1.jpg,train
train_1\shahar_wave1.avi_frame2.jpg,train
train_1\v_BodyWeightSquats_g01_c01.avi_frame0.jpg,train
train_1\v_BodyWeightSquats_g01_c01.avi_frame1.jpg,train
train_1\v_BodyWeightSquats_g01_c01.avi_frame10.jpg,train
train_1\v_BodyWeightSquats_g01_c01.avi_frame2.jpg,train
train_1\v_BodyWeightSquats_g01_c01.avi_frame3.jpg,train
train_1\v_BodyWeightSquats_g01_c01.avi_frame4.jpg,train
train_1\v_BodyWeightSquats_g01_c01.avi_frame5.jpg,train
train_1\v_BodyWeightSquats_g01_c01.avi_frame6.jpg,train
train_1\v_BodyWeightSquats_g01_c01.avi_frame7.jpg,train
train_1\v_BodyWeightSquats_g01_c01.avi_frame8.jpg,train
train_1\v_BodyWeightSquats_g01_c01.avi_frame9.jpg,train
train_1\v_BodyWeightSquats_g01_c02.avi_frame0.jpg,train
train_1\v_BodyWeightSquats_g01_c02.avi_frame1.jpg,train
train_1\v_BodyWeightSquats_g01_c02.avi_frame10.jpg,train
train_1\v_BodyWeightSquats_g01_c02.avi_frame2.jpg,train
